epoch,binary_crossentropy,loss,val_binary_crossentropy,val_loss
0,0.44573864932897556,0.4457386509013982,0.36399730421878673,0.3639973132698624
1,0.3390386044143746,0.33903860559369153,0.34127438377451014,0.34127438531981574
2,0.32223622747815944,0.322236229050582,0.3186220436184495,0.3186220451637551
3,0.3118396622772956,0.31183966581524647,0.3110509185879319,0.31105092719749167
4,0.3012898885702556,0.30128988589222333,0.2966194419949143,0.2966194490591685
5,0.2909758596359357,0.29097585727730174,0.2874480597398899,0.28744807033627123
6,0.28355915833384365,0.28355915990626623,0.28195527780939034,0.28195527626408473
7,0.27175011690352835,0.27175011768973967,0.273904937836859,0.273904941589744
8,0.2624386493224107,0.2624386522707031,0.2601236120418266,0.2601236042049196
9,0.25477607919230305,0.2547760786026446,0.25564197555736257,0.2556419790894897
10,0.24905225069485512,0.24905225435565154,0.25132817007877206,0.25132817007877206
11,0.24525927639852746,0.24525927391704802,0.24885153980166824,0.24885153626954115
12,0.24146197032358463,0.24146197425464117,0.24553754097885555,0.2455375447317406
13,0.2397613095431316,0.23976130973968443,0.2524217580203657,0.2524217466513316
14,0.23578150576534884,0.23578150367697506,0.24215335812833574,0.24215335260938714
15,0.23284421705157915,0.23284421705157915,0.2434198632284447,0.24341987559088954
16,0.22939944186194908,0.22939944182509542,0.241766807657701,0.241766807657701
17,0.2275258600343286,0.22752585905156447,0.24169188969665104,0.24169189046930384
18,0.22344894327610265,0.223448943595501,0.2465599298477173,0.2465599290750645
19,0.22108760471198546,0.22108760333611566,0.24393692524344832,0.24393693308035533
20,0.21863449371657093,0.2186344942325221,0.2416332675351037,0.24163326654169295
21,0.21317853790271016,0.21317853833266948,0.2505991086915687,0.25059909809518743
22,0.20992526156491517,0.20992526038559822,0.24623756375577716,0.2462375655218407
23,0.20553813952114203,0.2055381378750121,0.24558260054500014,0.2455825967921151
24,0.20150209502650998,0.20150209411745315,0.247069169304989,0.24706916599361986
25,0.19588208112555502,0.19588208210831914,0.25857580845002776,0.2585758066839642
26,0.1954246760151746,0.19542467617487377,0.2529001962255549,0.2529001926934278
27,0.1894507818691807,0.18945078344160332,0.25781579933784626,0.2578157975717827
28,0.1881956666560578,0.18819566547674083,0.2582829424628505,0.2582829436770192
29,0.18365893995132904,0.18365893995132904,0.26356512319158626,0.26356511535467925
30,0.18194830347611113,0.1819483019036885,0.26596382999861684,0.26596383529680745
31,0.18008777851765548,0.18008777749803767,0.277742702210391,0.27774270121698025
32,0.17771113789828474,0.17771113675582142,0.2631796623821612,0.263179663154814
33,0.1744257061322268,0.17442570381044653,0.2714928998991295,0.2714928946009389
34,0.1744115984793645,0.17441159792655966,0.2631786110224547,0.2631785996534206
35,0.17254430957304379,0.1725443074109627,0.2813955166825542,0.2813955149164906
36,0.17009125573764827,0.1700912545583313,0.27442069384786816,0.27442069384786816
37,0.16818296616959946,0.16818296616959946,0.2670865714550018,0.26708657498712896
38,0.1670932848273676,0.16709328427456277,0.2682457579506768,0.26824576048939314
39,0.1669834230251776,0.1669834232585841,0.27696794966856636,0.2769679637970748
40,0.16498242134361943,0.164982419930896,0.26803751256730823,0.2680375274684694
41,0.16390877487928732,0.16390877507584015,0.2933142274618149,0.2933142117880009
42,0.16193345094503495,0.1619334473702304,0.28691726050995014,0.28691725344569596
43,0.16216595922976806,0.16216595742393897,0.2890261180974819,0.2890261145653548
44,0.16073772190822025,0.1607377204954968,0.2772967205003456,0.2772967091313115
45,0.15892332950752822,0.15892332675578863,0.2874429670748887,0.28744296431541444
46,0.1589128133170583,0.15891280899289612,0.30253851292309936,0.30253849824269613
47,0.15719982038228256,0.1571998179008031,0.2697391810240569,0.26973917219373916
48,0.15710597269709997,0.15710596864319792,0.2764179429522267,0.27641793919934166
49,0.15634766137511497,0.15634765740720477,0.29270448839222946,0.2927044715042467
50,0.154903615825646,0.15490361140320738,0.3031777496691103,0.30317772693104217
51,0.15348826765227888,0.15348826300871835,0.29754586186673904,0.29754585149111573
52,0.15372751694961903,0.15372751223235118,0.2979357297773714,0.2979357209470537
53,0.15302434875664392,0.15302434286005911,0.2836077176862293,0.283607699252941
54,0.15223438679090925,0.15223438177881218,0.2922976248794132,0.2922976084329464
55,0.15263912673833835,0.1526391214928348,0.28652403167000523,0.2865240255991618
56,0.15010289521081724,0.1501028898056145,0.2845862593915727,0.2845862593915727
57,0.1497164743062591,0.14971646742691014,0.3106432773448803,0.3106432669692569
58,0.1504589873016716,0.1504589799309406,0.29890243852580034,0.2989024316823041
59,0.14888064037495571,0.14888063215659064,0.3075962786321287,0.3075962680357474
60,0.14832681626302588,0.14832680598085612,0.3080097244845496,0.30800970858997767
61,0.1493517406352374,0.14935172982483194,0.2857549050339946,0.28575488759411705
62,0.14677827851347755,0.14677827108132377,0.290422679759838,0.29042267269558375
63,0.14614861892798864,0.1461486081544368,0.28591398243550903,0.28591395616531373
64,0.14633441739158992,0.14633440681459092,0.28941489535349385,0.28941488828923967
65,0.14570632752611534,0.14570631694911632,0.3021018202658053,0.30210179576167356
66,0.1448881748053326,0.144888164148484,0.3055435562575305,0.30554353175339877
67,0.1445219319832787,0.14452191983385707,0.3153356041069384,0.3153355829141758
68,0.1440815567012081,0.14408154278281102,0.29943229578159475,0.2994322708359471
69,0.1428658839895621,0.14286587052569347,0.3007257170147366,0.3007257013409226
70,0.14438832716468142,0.14438831320943069,0.33180526340449296,0.3318052316153491
71,0.14386669295146656,0.1438666805072157,0.2940377997027503,0.29403777873074566
72,0.14388460680068474,0.14388459337366974,0.2766159311488823,0.2766159109495304
73,0.1438331684713411,0.14383315559713092,0.3006906773205157,0.3006906528163839
74,0.14220284673662492,0.14220283455034965,0.29786174562242296,0.2978617173654062
75,0.1426652409596966,0.1426652245843892,0.3240175143436149,0.32401750021510656
76,0.14191007540428432,0.14191006079795238,0.3027819980073858,0.30278198917706806
77,0.14098649667936813,0.1409864821713126,0.337503899247558,0.33750387452266833
78,0.140399290023023,0.14039927358629284,0.3269615793669665,0.3269615546420768
79,0.13983475649690982,0.13983474031815524,0.299597457603172,0.2995974452407272
80,0.139331723232458,0.13933170840500408,0.32447804985222994,0.32447802159521316
81,0.13852533791444563,0.13852531951218722,0.3253205200036367,0.3253204921881358
82,0.139097140258929,0.1390971230974103,0.32093531599751224,0.32093528972731694
