epoch,binary_crossentropy,loss
0,0.6033766052939675,0.6033766016815648
1,0.3660564088460171,0.36605641426462115
2,0.3180530811801101,0.31805308388941217
3,0.2994018684733998,0.2994018711827018
4,0.29359088070464856,0.2935908825108499
5,0.2879611208583369,0.28796112266453827
6,0.2892697074196555,0.28926970561345416
7,0.2937439535603379,0.29374395897894195
8,0.2871262187307531,0.2871262187307531
9,0.2808007092186899,0.28080070831558923
10,0.2796988812359897,0.2796988812359897
11,0.27757855888568994,0.27757856159499195
12,0.2720110235792218,0.2720110262885238
13,0.2659558924761685,0.26595589789477264
14,0.263785082282442,0.26378507912158966
15,0.26085796636162384,0.2608579672647245
16,0.2572121466651107,0.2572121475682114
17,0.25094712412718573,0.25094712412718573
18,0.24700139101707574,0.24700138559847168
19,0.24894770347710812,0.24894770167090677
20,0.24312003724502795,0.2431200354388266
21,0.24690740578102344,0.2469074075872248
22,0.24603031756299915,0.24603031530524744
23,0.24282675665436368,0.24282675484816232
24,0.23563797681620627,0.23563797771930695
25,0.23885272307829422,0.23885272443294525
26,0.23809832244208365,0.23809832153898297
27,0.2345077223850019,0.2345077210303509
28,0.23716510471069452,0.23716510380759384
29,0.2370562246351531,0.23705623005375717
30,0.23456798855102423,0.2345679903572256
31,0.23379449275406924,0.2337944909478679
32,0.2318087617556254,0.23180876130407507
33,0.22745091355208194,0.22745091490673297
34,0.23088570526151947,0.23088570706772082
35,0.23252654120777594,0.2325265398531249
36,0.2294869635141257,0.22948696622342774
37,0.23340249106739508,0.23340249016429437
38,0.22777380591089075,0.2277738063624411
39,0.22744537483562122,0.2274453712232185
40,0.22751913603508112,0.22751913513198044
41,0.23015746022715713,0.23015746022715713
42,0.22823730652982538,0.22823730652982538
43,0.22461277517405423,0.22461277968955762
44,0.23035812694014926,0.23035812603704858
45,0.22730419446121564,0.22730419491276596
46,0.2228981080380353,0.22289810984423666
47,0.2262647436423735,0.2262647436423735
48,0.22641712698069485,0.22641712698069485
49,0.22727402999545587,0.2272740336078586
50,0.22243407278349905,0.2224340709772977
51,0.22278723030379324,0.22278722940069257
52,0.22392915189266205,0.22392915279576273
53,0.22309560125524347,0.22309560306144482
54,0.22191470138954394,0.22191469822869156
55,0.22058590975674716,0.22058590840209613
56,0.2215317225817478,0.2215317225817478
57,0.22370418725591718,0.22370418815901785
58,0.22367271961587848,0.22367272413138187
59,0.22219036654992538,0.22219036925922742
60,0.222259110122016,0.2222591092189153
61,0.2203478334528027,0.2203478320981517
62,0.21568554775281387,0.2156855468497132
63,0.22037682162992883,0.22037682117837848
64,0.21991876219258163,0.2199187630956823
65,0.22059099466511697,0.2205909915042646
66,0.21923211894252084,0.21923211894252084
67,0.2185158837925304,0.21851588288942972
68,0.22200569600769968,0.22200569600769968
69,0.2182785669962565,0.2182785656416055
70,0.21576827945131244,0.21576828216061447
71,0.21648684640725455,0.2164868436979525
72,0.21522592956369574,0.2152259313698971
73,0.2174804468046535,0.2174804454500025
74,0.2148706858808344,0.21487068317153238
75,0.21578332285086313,0.21578332330241348
76,0.21813079940550256,0.21813079940550256
77,0.2149751100576285,0.21497511141227954
78,0.21493266297109198,0.21493266297109198
79,0.21653512526642194,0.21653512436332126
80,0.21274853068770785,0.21274853068770785
81,0.21590192074125464,0.21590192074125464
82,0.2145329894441547,0.21453298808950366
83,0.2152705711848808,0.2152705757003842
84,0.21240958797209192,0.21240958797209192
85,0.21289030033530612,0.2128902989806551
86,0.21466614938143527,0.2146661484783346
87,0.2133243955446012,0.21332439238374884
88,0.21435300463979895,0.2143530041882486
89,0.21320162532907544,0.21320162442597476
90,0.20991204046841824,0.2099120391137672
91,0.21182959459044717,0.21182959097804446
92,0.2153700418544538,0.21537003959670212
93,0.21550968515150476,0.21550968379685373
94,0.20910814901192984,0.20910814810882916
95,0.20986628306634497,0.20986628306634497
96,0.21153034450429858,0.21153034766515097
97,0.21187095840771994,0.2118709579561696
98,0.21140595864165912,0.2114059536746054
99,0.21116500505895325,0.21116500505895325
