epoch,dice_coef,loss
0,0.1583731955651081,-0.1583731955651081
1,0.1722143224694512,-0.1722143224694512
2,0.18774395007075687,-0.18774395007075687
3,0.19576263427734375,-0.19576263427734375
4,0.20511361053495697,-0.20511361053495697
5,0.2052674149021958,-0.2052674149021958
6,0.20736650761329767,-0.20736650761329767
7,0.20898732994541977,-0.20898732994541977
8,0.24344341095649835,-0.24344341095649835
9,0.2784184181328976,-0.2784184181328976
10,0.2982301350795861,-0.2982301350795861
11,0.3234956381898938,-0.3234956381898938
12,0.3369934278907198,-0.3369934278907198
13,0.3560165898366408,-0.3560165898366408
14,0.3713797881747737,-0.3713797881747737
15,0.3775968208457484,-0.3775968208457484
16,0.38381008758689417,-0.38381008758689417
17,0.39110908002564404,-0.39110908002564404
18,0.39688109809702093,-0.39688109809702093
19,0.4031615979743726,-0.4031615979743726
20,0.4101190133528276,-0.4101190133528276
21,0.4068935043884046,-0.4068935043884046
22,0.4148698557506908,-0.4148698557506908
23,0.41338132096059393,-0.41338132096059393
24,0.41847760207725293,-0.41847760207725293
25,0.4221409857273102,-0.4221409857273102
26,0.42391678510290204,-0.42391678510290204
27,0.4258818536093741,-0.4258818536093741
28,0.4321177367008094,-0.4321177367008094
29,0.4297230469458031,-0.4297230469458031
30,0.4272765851382053,-0.4272765851382053
31,0.4360717607266975,-0.4360717607266975
32,0.4361228581630822,-0.4361228581630822
33,0.43532686432202655,-0.43532686432202655
34,0.4350604803273172,-0.4350604803273172
35,0.43239927201560047,-0.43239927201560047
36,0.4410081415465384,-0.4410081415465384
37,0.4383925994237264,-0.4383925994237264
38,0.445323876359246,-0.445323876359246
39,0.44340801961494214,-0.44340801961494214
40,0.44619351535132434,-0.44619351535132434
41,0.44986544594620215,-0.44986544594620215
42,0.43918425657532434,-0.43918425657532434
43,0.4511961991136724,-0.4511961991136724
44,0.4476152252067219,-0.4476152252067219
45,0.4486624435944991,-0.4486624435944991
46,0.45472432989062683,-0.45472432989062683
47,0.4501915059306405,-0.4501915059306405
48,0.45072471914869366,-0.45072471914869366
49,0.4536483134284164,-0.4536483134284164
50,0.4527253409226735,-0.4527253409226735
51,0.45989377029014356,-0.45989377029014356
52,0.4564095175627506,-0.4564095175627506
53,0.4580733586441387,-0.4580733586441387
54,0.45927905042966205,-0.45927905042966205
55,0.4589026895436374,-0.4589026895436374
56,0.46206283840266144,-0.46206283840266144
57,0.4583141758586421,-0.4583141758586421
58,0.46199559623544867,-0.46199559623544867
59,0.46564273581360327,-0.46564273581360327
60,0.46008365804498846,-0.46008365804498846
61,0.4606640329866698,-0.4606640329866698
62,0.4717297680450208,-0.4717297680450208
63,0.46429063153989386,-0.46429063153989386
64,0.46651823051048047,-0.46651823051048047
65,0.4666199873794209,-0.4666199873794209
66,0.46989134495908563,-0.46989134495908563
67,0.46454140905177954,-0.46454140905177954
68,0.474582036336263,-0.474582036336263
69,0.4749851777698054,-0.4749851777698054
70,0.4710366798169685,-0.4710366798169685
71,0.4734847274693576,-0.4734847274693576
72,0.47811563448472455,-0.47811563448472455
73,0.481980871070515,-0.481980871070515
74,0.47539042794343195,-0.47539042794343195
75,0.4764664317622329,-0.4764664317622329
76,0.47454360217759106,-0.47454360217759106
77,0.47530221939086914,-0.47530221939086914
78,0.4799554772449262,-0.4799554772449262
79,0.47602605006911536,-0.47602605006911536
80,0.4763714942065152,-0.4763714942065152
81,0.4787885853738496,-0.4787885853738496
82,0.4767679779818564,-0.4767679779818564
83,0.48052650599768665,-0.48052650599768665
84,0.486887767459407,-0.486887767459407
85,0.48388510942459106,-0.48388510942459106
86,0.48519934849305585,-0.48519934849305585
87,0.48094884102994745,-0.48094884102994745
88,0.48314749291448883,-0.48314749291448883
89,0.4832853503299482,-0.4832853503299482
90,0.4834646862564665,-0.4834646862564665
91,0.4900631742043929,-0.4900631742043929
92,0.4900222222010295,-0.4900222222010295
93,0.49015269857464416,-0.49015269857464416
94,0.49339260747938446,-0.49339260747938446
95,0.4923710290229682,-0.4923710290229682
96,0.4927551809585456,-0.4927551809585456
97,0.48905698277733545,-0.48905698277733545
98,0.4907452138987454,-0.4907452138987454
99,0.49403138413573755,-0.49403138413573755
0,0.1587820021492062,-0.1587820021492062
1,0.17559430138631302,-0.17559430138631302
2,0.19384912875565616,-0.19384912875565616
3,0.19832216293522806,-0.19832216293522806
4,0.20417128096927295,-0.20417128096927295
5,0.2077097608284517,-0.2077097608284517
6,0.20217014984651047,-0.20217014984651047
7,0.211856718767773,-0.211856718767773
8,0.24298311950582446,-0.24298311950582446
9,0.2861522418079954,-0.2861522418079954
